model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9953703703703703
RandomForest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313
